school,course_code,course_title,prof_name,program,prerequisite
Graduate School of Technology and Innovation Management,TIM50101,Management of Technological Innovation,Young-Choon Kim,Combined Course,
Graduate School of Technology and Innovation Management,TIM50501,Principles of Finance & Accounting,Jeong Hwan Joo,Combined Course,
Graduate School of Technology and Innovation Management,TIM50601,Strategy,Doyoon Kim,Combined Course,
Graduate School of Technology and Innovation Management,TIM50701,Management Communications,Victoria Kim,Combined Course,
Graduate School of Technology and Innovation Management,TIM51001,Introduction to Business Analytics,Jaesun Yeom,Combined Course,
Graduate School of Technology and Innovation Management,TIM61601,AI-Digital Transformation Value Chain Convergence,"Joonhwan In
Joonhwan In",Combined Course,
Graduate School of Technology and Innovation Management,TIM63201,Technology Value and Evaluation,Sang Moo Huh,Combined Course,
Graduate School of Technology and Innovation Management,TIM63301,Law and Intellectual Property Management,Sang Moo Huh,Combined Course,
Graduate School of Technology and Innovation Management,TIM64801,Digital Marketing,Molan Kim,Combined Course,Marketing
Graduate School of Technology and Innovation Management,TIM65401,Special Topics in TIM Ⅳ(4차산업혁명시대 미디어산업의 디지털 트랜스포메이션),Young Mi Lee,Combined Course,
Graduate School of Technology and Innovation Management,TIM65601,Special Topics in TIMⅥ(Smart Factory Consulting),Jason Park,Combined Course,
Graduate School of Technology and Innovation Management,TIM69401,Capstone Project,"Young Rok Choi
Hyun-Dae Cho",Combined Course,
Graduate School of Technology and Innovation Management,TIM89101,Independent Study,Young Rok Choi,Combined Course,
Graduate School of Technology and Innovation Management,TIM50201,Managing People at Work,Hye-sun Kang,Combined Course,
Graduate School of Technology and Innovation Management,TIM50301,Data Mining,Han-Gyun Woo,Combined Course,
Graduate School of Technology and Innovation Management,TIM50401,Marketing,Min Chung Kim,Combined Course,
Graduate School of Technology and Innovation Management,TIM50901,Operations Management,Joonhwan In,Combined Course,
Graduate School of Technology and Innovation Management,TIM61101,Big Data and New Product Development,Dojoon Lee,Combined Course,
Graduate School of Technology and Innovation Management,TIM62101,Experiential Entrepreneurship & Tech Commercialization,Seung Bai Bach,Combined Course,
Graduate School of Technology and Innovation Management,TIM62601,Pursuing Entrepreneurship within Existing Firms,Dojoon Lee,Combined Course,
Graduate School of Technology and Innovation Management,TIM64601,Technology Licensing Management,Sang Moo Huh,Combined Course,
Graduate School of Technology and Innovation Management,TIM65501,Special Topics in TIM V(STI Policy and MOT),Hyun-Dae Cho,Combined Course,
Graduate School of Technology and Innovation Management,TIM65701,Special Topics in TIM Ⅶ(Offshore Wind Power Technologies and Management),Young Rok Choi,Combined Course,
Graduate School of Technology and Innovation Management,TIM69401,Capstone Project,Young Rok Choi,Combined Course,
Graduate School of Technology and Innovation Management,TIM69601,Seminar on Industry and Emerging Technology Trends,Young Mi Lee,Combined Course,
Graduate School of Technology and Innovation Management,TIM89101,Independent Study,Young Rok Choi,Combined Course,
Graduate School of Artificial Intelligence,AI70201,Meta & Multi-task Learning,Sung Whan Yoon,Doctoral Course,
Graduate School of Artificial Intelligence,AI70501,Nonparametric Bayesian,Hyeonwoo Yu,Doctoral Course,
Graduate School of Artificial Intelligence,AI89001,Doctoral Research,Sam H. Noh,Doctoral Course,
Department of Biological Sciences,BIO80101,Special Lecture in Biological Sciences A(Cancer Epigenomics),Myung Gon Ko,Doctoral Course,
Department of Biological Sciences,BIO80201,Special Lectures in Biological Science B (Principles of Virology),Hyug Moo Kwon,Doctoral Course,
Department of Biological Sciences,BIO80301,Special Lectures in Biological Science C (Cutting Edge of Life Sciences),Haejin Yoon,Doctoral Course,
Department of Biological Sciences,BIO89001,Doctoral Research,Hongtae Kim,Doctoral Course,
Department of Biomedical Engineering,BME80101,Special Lectures in Biomedical Engineering A(Recent Advances in Cell-based Disease Modeling),Tae-Eun Park,Doctoral Course,
Department of Biomedical Engineering,BME80201,Special Lectures in Biomedical Engineering B(Capstone Project),Jinmyoung Joo,Doctoral Course,
Department of Biomedical Engineering,BME80301,Special Lectures in Biomedical Engineering C (Recent Advances in Microfluidics and Nanotechnology),Joo Hun Kang,Doctoral Course,
Department of Biomedical Engineering,BME89001,Doctoral Research,Hyung Joon Cho,Doctoral Course,
Department of Chemistry,CHM89001,Doctoral Research,Jaeheung Cho,Doctoral Course,
Graduate School of Carbon Neutrality,CN89001,Doctoral Research,Yongwon Seo,Doctoral Course,
Department of Computer Science and Engineering,CSE89001,Doctoral Research,Woongki Baek,Doctoral Course,
Department of Design,DES89101,Doctoral Research,Chajoong Kim,Doctoral Course,
Department of Design,DES90501,Special Topics in Design 5(Innovative Technology-Design Project),Hui Sung Lee,Doctoral Course,
Department of Urban and Environmental Engineering,DME70201,Advanced Numerical Modeling for Weather,Dong-Hyun Cha,Doctoral Course,
School of Energy and Chemical Engineering,ECHE89001,Doctoral Research,Hyun-Kon Song,Doctoral Course,
Department of Electrical Engineering,EE73801,Advanced Wireless Communication Theory,Jinseok Choi,Doctoral Course,
Department of Electrical Engineering,EE78301,Sensor Interface Circuits Design,Jae Joon Kim,Doctoral Course,
Department of Electrical Engineering,EE83001,"Advanced Topics in Communication, Control, and Signal Processing Ⅰ (Meta & Multi-task Learning)",Sung Whan Yoon,Doctoral Course,
Department of Electrical Engineering,EE89001,Doctoral Research,Jee Hoon Jung,Doctoral Course,
Department of Industrial Engineering,IE89001,Doctoral Research,Namhun Kim,Doctoral Course,
Department of Mechanical Engineering,MEN74101,Bioinspired Technology,Hoon Eui Jeong,Doctoral Course,
Department of Mechanical Engineering,MEN77301,Advanced Control Systems II,Joonbum Bae,Doctoral Course,
Department of Mechanical Engineering,MEN79101,Special Topic I (Special Topics on Additive Manufacturing),Im Doo Jung,Doctoral Course,
Department of Mechanical Engineering,MEN89001,Doctoral Research,Chun Sang Yoo,Doctoral Course,
School of Business Administration,MGT89001,Doctoral Research,Young Rok Choi,Doctoral Course,
Department of Materials Science and Engineering,MSE68601,S.T. on Materials Science Eng. Ⅵ (Microstructure-Property Relationships: Physical Metallurgy II),Suk Bin Lee,Doctoral Course,
Department of Materials Science and Engineering,MSE73101,Advanced Magnetic Materials,Jung-Woo Yoo,Doctoral Course,
Department of Materials Science and Engineering,MSE75301,Nano Convergent Energy Devices,Jae Sung Son,Doctoral Course,
Department of Materials Science and Engineering,MSE75601,Advanced Optical Materials and Devices,Young Chul Jun,Doctoral Course,
Department of Materials Science and Engineering,MSE89001,Doctoral Research,Kyoung Jin Choi,Doctoral Course,
Department of Mathematical Sciences,MTH89001,Doctoral Research,Chang Hyeong Lee,Doctoral Course,
Department of Nuclear Engineering,NE89001,Doctoral Research,In Cheol Bang,Doctoral Course,
Department of Physics,PHY89001,Doctoral Research,Kibog Park,Doctoral Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE89001,Doctoral Research,Hongsik Jeong,Doctoral Course,
Graduate School of Technology and Innovation Management,TIM71201,Technology Commercialization and Entrepreneurship Seminar,Young Rok Choi,Doctoral Course,
Graduate School of Technology and Innovation Management,TIM71401,Technology and Innovation Management Theory Seminar,Young-Choon Kim,Doctoral Course,
Graduate School of Technology and Innovation Management,TIM71501,Strategy Theory,Min Chung Kim,Doctoral Course,
Graduate School of Technology and Innovation Management,TIM89001,Thesis Research,Young Rok Choi,Doctoral Course,
Department of Urban and Environmental Engineering,UEE89001,Doctoral Research,Jae Eun Oh,Doctoral Course,
