GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cse364-project,com.group1.coursereview.controller,CourseController,0,25,0,0,0,5,0,3,0,3
cse364-project,com.group1.coursereview.controller,CommentController,69,47,7,5,18,15,6,5,2,3
cse364-project,com.group1.coursereview.controller,ReviewController,78,139,8,20,17,30,7,14,2,5
cse364-project,com.group1.coursereview.controller,ClientForwardController,2,3,0,0,1,1,1,1,1,1
cse364-project,com.group1.coursereview.controller,UserController,5,188,3,31,1,41,3,19,0,5
cse364-project,com.group1.coursereview.model,UserModel,0,53,0,0,0,23,0,12,0,12
cse364-project,com.group1.coursereview.model,Comment,22,31,0,0,9,13,3,9,3,9
cse364-project,com.group1.coursereview.model,SessionModel,0,26,0,0,0,12,0,6,0,6
cse364-project,com.group1.coursereview.model,Review,3,83,0,0,1,35,1,17,1,17
cse364-project,com.group1.coursereview.model,Professor,0,73,0,0,0,30,0,16,0,16
cse364-project,com.group1.coursereview.model,Course,0,73,0,0,0,30,0,16,0,16
cse364-project,com.group1.coursereview,CoursereviewApplication,5,3,0,0,2,1,1,1,1,1
